"ID";"Kuerzel";"Name";"Vorname";"Passwort";"Geschlecht";"AmtsBez";"EMail";"Kompetenzen"
2953;"NIEH";"Niehaus";"Melanie";"";"w";"OStR'";"M.Niehaus@lmail.de";""
4040;"NISS";"Nissen";"Jessika";"";"w";"StR'";"J.Nissen@lmail.de";""
2822;"NN";"NN";"Sven";"";"m";"OStR";"S.NN@lmail.de";""
5567;"OHL";"Ohl";"Marina";"";"w";"LAA'";"M.Ohl@lmail.de";""
3353;"PÜSC";"Püschel";"Thomas";"";"m";"OStR";"T.Püschel@lmail.de";""
3010;"QUAL";"Qualtrough";"Nicole";"";"w";"StR'";"N.Qualtrough@lmail.de";""
3480;"REBB";"Rebbereh";"Tom";"";"m";"StR";"T.Rebbereh@lmail.de";""
5633;"REHB";"Rehberg";"Kerstin";"";"w";"OStR'";"K.Rehberg@lmail.de";""
4222;"REI1";"Reinhard";"Leon";"";"m";"StR a. P.";"L.Reinhard@lmail.de";""
3352;"REUN";"Reuner";"Jan";"";"m";"OStR";"J.Reuner@lmail.de";""
4427;"ROSE";"Rosendaal";"Frank";"";"m";"StR";"F.Rosendaal@lmail.de";""
2942;"ROSS";"Rossmann";"Anna";"";"w";"StD'";"A.Rossmann@lmail.de";""
5667;"RÜC1";"Rück";"Diana";"";"w";"L' i. A.";"D.Rück@lmail.de";""
2817;"RÜCK";"Rück";"Jennifer";"";"w";"OStR'";"J.Rück@lmail.de";""
4223;"SASS";"Sasse";"Sophia";"";"w";"StR' a. P.";"S.Sasse@lmail.de";""
2960;"SCH4";"Schmidtchen";"Marcel";"";"m";"StR";"M.Schmidtchen@lmail.de";""
2978;"SCH5";"Schöpperlin";"Andreas";"";"m";"StD";"A.Schöpperlin@lmail.de";""
2945;"SCHR";"Schreib";"Karolin";"";"w";"StR'";"K.Schreib@lmail.de";""
3021;"SCHU";"Schumann";"Markus";"";"m";"StD";"M.Schumann@lmail.de";""
3361;"SCHÜ";"Schütze";"Jonas";"";"m";"OStR";"J.Schütze@lmail.de";""
4039;"SEIM";"Seim";"Anne";"";"w";"StR'";"A.Seim@lmail.de";""
2901;"SEN1";"Senstius";"Martina";"";"w";"StR'";"M.Senstius@lmail.de";""
2869;"SENS";"Senstius";"Manuela";"";"w";"OStR'";"M.Senstius@lmail.de";""
5566;"SOMM";"Sommer";"Birgit";"";"w";"LAA'";"B.Sommer@lmail.de";""
2872;"STE1";"Stempel";"Diana";"";"w";"OStR'";"D.Stempel@lmail.de";""
3739;"STR1";"Strauben";"Petra";"";"w";"StR'";"P.Strauben@lmail.de";""
5565;"TERG";"Terges";"Nicole";"";"w";"LAA'";"N.Terges@lmail.de";""
3005;"THOR";"Thorogood";"Christian";"";"m";"OStR";"C.Thorogood@lmail.de";""
3006;"UNTI";"Untied";"Patrick";"";"m";"OStR";"P.Untied@lmail.de";""
2944;"VOGT";"Vogt";"Ute";"";"w";"StR'";"U.Vogt@lmail.de";""
5330;"VORW";"Vorwinkel";"Alexander";"";"m";"StR a.P.";"A.Vorwinkel@lmail.de";""
4220;"VÖLK";"Völkel";"Jan";"";"m";"StR";"J.Völkel@lmail.de";""
3716;"WIEG";"WiegmannHaardt";"Monika";"";"w";"StR'";"M.WiegmannHaardt@lmail.de";""
4008;"WOLL";"Wollesen";"Andrea";"";"w";"StR'";"A.Wollesen@lmail.de";""
4318;"ZIME";"Zimen";"Andreas";"";"m";"LAA";"A.Zimen@lmail.de";""
