"IdNr";"Status";"Geschlecht";"Jahrgang";"Klasse";"Name";"Vorname";"CollCount";"GebDat";"SchulNr";"DB_IdNr";"Tutor";"PruefOrd";"EMail";"KoopDBIdNr";"ExterneId";"SchulEmail";"Gruppe"
49;2;3;"EF";"EF";"Miss";"Jürgen";-1;"20.03.2008";123456;81219;"";"APO-GOSt(B)10/G8";"J.Miss@smail.de";0;"";"J.Miss@meineschule.de";""
50;2;3;"EF";"EF";"Nierdrschlg";"Sebastian";-1;"05.01.2008";123456;81254;"";"APO-GOSt(B)10/G8";"S.Nierdrschlg@smail.de";0;"";"S.Nierdrschlg@meineschule.de";""
51;2;3;"EF";"EF";"Oehlschläger";"Alexander";-1;"01.03.2008";123456;81424;"";"APO-GOSt(B)10/G8";"A.Oehlschläger@smail.de";0;"";"A.Oehlschläger@meineschule.de";""
52;2;3;"EF";"EF";"Paxton";"Marcel";-1;"03.07.2008";123456;81168;"";"APO-GOSt(B)10/G8";"M.Paxton@smail.de";0;"";"M.Paxton@meineschule.de";""
53;2;4;"EF";"EF";"Peper";"Ines";-1;"07.02.2008";123456;80765;"";"APO-GOSt(B)10/G8";"I.Peper@smail.de";0;"";"I.Peper@meineschule.de";""
54;2;4;"EF";"EF";"Perry";"Jessika";-1;"30.10.2007";123456;80843;"";"APO-GOSt(B)10/G8";"J.Perry@smail.de";0;"";"J.Perry@meineschule.de";""
55;2;4;"EF";"EF";"Peter";"Brigitte";-1;"07.06.2008";123456;80854;"";"APO-GOSt(B)10/G8";"B.Peter@smail.de";0;"";"B.Peter@meineschule.de";""
56;2;4;"EF";"EF";"Preston";"Mandy";-1;"23.01.2007";123456;76959;"";"APO-GOSt(B)10/G8";"M.Preston@smail.de";0;"";"M.Preston@meineschule.de";""
57;2;4;"EF";"EF";"Priet";"Kathrin, Katrin";-1;"16.01.2008";123456;81419;"";"APO-GOSt(B)10/G8";"K.Priet@smail.de";0;"";"K.Priet@meineschule.de";""
58;2;4;"EF";"EF";"Quiter";"Anke";-1;"23.03.2008";123456;81210;"";"APO-GOSt(B)10/G8";"A.Quiter@smail.de";0;"";"A.Quiter@meineschule.de";""
59;2;4;"EF";"EF";"Rau";"Melanie";-1;"09.06.2008";123456;81385;"";"APO-GOSt(B)10/G8";"M.Rau@smail.de";0;"";"M.Rau@meineschule.de";""
60;2;4;"EF";"EF";"Ravendt";"Katharina";-1;"01.09.2008";123456;81245;"";"APO-GOSt(B)10/G8";"K.Ravendt@smail.de";0;"";"K.Ravendt@meineschule.de";""
61;2;4;"EF";"EF";"Ravendt";"Lea";-1;"01.03.2008";123456;81560;"";"APO-GOSt(B)10/G8";"L.Ravendt@smail.de";0;"";"L.Ravendt@meineschule.de";""
62;2;3;"EF";"EF";"Reinisch";"Marco";-1;"13.11.2008";123456;81165;"";"APO-GOSt(B)10/G8";"M.Reinisch@smail.de";0;"";"M.Reinisch@meineschule.de";""
63;2;3;"EF";"EF";"Repp";"Michael";-1;"14.01.2007";123456;72365;"";"APO-GOSt(B)10/G8";"M.Repp@smail.de";0;"";"M.Repp@meineschule.de";""
64;2;3;"EF";"EF";"Rhode";"Jürgen";-1;"15.09.2008";123456;81065;"";"APO-GOSt(B)10/G8";"J.Rhode@smail.de";0;"";"J.Rhode@meineschule.de";""
65;2;4;"EF";"EF";"Richardi";"Anna";-1;"20.04.2008";123456;81122;"";"APO-GOSt(B)10/G8";"A.Richardi@smail.de";0;"";"A.Richardi@meineschule.de";""
66;2;3;"EF";"EF";"Richter";"René";-1;"14.11.2008";123456;81096;"";"APO-GOSt(B)10/G8";"R.Richter@smail.de";0;"";"R.Richter@meineschule.de";""
67;2;3;"EF";"EF";"Rochner";"Frank";-1;"14.11.2007";123456;81527;"";"APO-GOSt(B)10/G8";"F.Rochner@smail.de";0;"";"F.Rochner@meineschule.de";""
68;2;4;"EF";"EF";"Rutzky";"Jennifer";-1;"01.03.2008";123456;81387;"";"APO-GOSt(B)10/G8";"J.Rutzky@smail.de";0;"";"J.Rutzky@meineschule.de";""
69;2;3;"EF";"EF";"Schauster";"Felix";-1;"06.08.2005";123456;105598;"";"APO-GOSt(B)10/G8";"F.Schauster@smail.de";0;"";"F.Schauster@meineschule.de";""
70;2;4;"EF";"EF";"Scheefe";"Melanie";-1;"06.09.2008";123456;80823;"";"APO-GOSt(B)10/G8";"M.Scheefe@smail.de";0;"";"M.Scheefe@meineschule.de";""
71;2;4;"EF";"EF";"Scherer";"Susanne";-1;"26.09.2008";123456;81518;"";"APO-GOSt(B)10/G8";"S.Scherer@smail.de";0;"";"S.Scherer@meineschule.de";""
72;2;3;"EF";"EF";"Schlimm";"Klaus";-1;"28.04.2008";123456;81379;"";"APO-GOSt(B)10/G8";"K.Schlimm@smail.de";0;"";"K.Schlimm@meineschule.de";""
73;2;4;"EF";"EF";"Schmalz";"Jessica";-1;"01.04.2008";123456;81547;"";"APO-GOSt(B)10/G8";"J.Schmalz@smail.de";0;"";"J.Schmalz@meineschule.de";""
74;2;4;"EF";"EF";"Schmidt-Polex";"Monika";-1;"10.01.2008";123456;81554;"";"APO-GOSt(B)10/G8";"M.Schmidt-Polex@smail.de";0;"";"M.Schmidt-Polex@meineschule.de";""
75;2;4;"EF";"EF";"Schmischke";"Sabine";-1;"09.05.2008";123456;81024;"";"APO-GOSt(B)10/G8";"S.Schmischke@smail.de";0;"";"S.Schmischke@meineschule.de";""
76;2;4;"EF";"EF";"Schmitz";"Katharina";-1;"25.05.2008";123456;81347;"";"APO-GOSt(B)10/G8";"K.Schmitz@smail.de";0;"";"K.Schmitz@meineschule.de";""
77;2;4;"EF";"EF";"Schneider";"Tanja";-1;"28.11.2008";123456;80815;"";"APO-GOSt(B)10/G8";"T.Schneider@smail.de";0;"";"T.Schneider@meineschule.de";""
78;2;4;"EF";"EF";"Schnettler";"Vanessa";-1;"12.07.2008";123456;81337;"";"APO-GOSt(B)10/G8";"V.Schnettler@smail.de";0;"";"V.Schnettler@meineschule.de";""
79;2;3;"EF";"EF";"Schönenberg";"Dennis";-1;"29.05.2008";123456;81118;"";"APO-GOSt(B)10/G8";"D.Schönenberg@smail.de";0;"";"D.Schönenberg@meineschule.de";""
80;2;3;"EF";"EF";"Schulte-Dabrock";"Markus";-1;"27.04.2008";123456;80833;"";"APO-GOSt(B)10/G8";"M.Schulte-Dabrock@smail.de";0;"";"M.Schulte-Dabrock@meineschule.de";""
81;2;3;"EF";"EF";"Schulte-Janning";"Robert";-1;"27.07.2008";123456;81241;"";"APO-GOSt(B)10/G8";"R.Schulte-Janning@smail.de";0;"";"R.Schulte-Janning@meineschule.de";""
82;2;3;"EF";"EF";"Schulten";"Leon";-1;"22.06.2008";123456;81501;"";"APO-GOSt(B)10/G8";"L.Schulten@smail.de";0;"";"L.Schulten@meineschule.de";""
83;2;3;"EF";"EF";"Schulte-Wiggering";"Phillipp";-1;"16.10.2008";123456;81541;"";"APO-GOSt(B)10/G8";"P.Schulte-Wiggering@smail.de";0;"";"P.Schulte-Wiggering@meineschule.de";""
84;2;3;"EF";"EF";"Schütte";"Christian";-1;"16.06.2008";123456;81137;"";"APO-GOSt(B)10/G8";"C.Schütte@smail.de";0;"";"C.Schütte@meineschule.de";""
85;2;4;"EF";"EF";"Sieh";"Vanessa";-1;"27.05.2008";123456;81559;"";"APO-GOSt(B)10/G8";"V.Sieh@smail.de";0;"";"V.Sieh@meineschule.de";""
86;2;4;"EF";"EF";"Simonis";"Sarah";-1;"19.04.2008";123456;81205;"";"APO-GOSt(B)10/G8";"S.Simonis@smail.de";0;"";"S.Simonis@meineschule.de";""
87;2;3;"EF";"EF";"Solbach";"Dirk";-1;"07.08.2008";123456;81370;"";"APO-GOSt(B)10/G8";"D.Solbach@smail.de";0;"";"D.Solbach@meineschule.de";""
88;2;4;"EF";"EF";"Specking";"Franziska";-1;"02.04.2008";123456;81240;"";"APO-GOSt(B)10/G8";"F.Specking@smail.de";0;"";"F.Specking@meineschule.de";""
89;2;4;"EF";"EF";"Splaning";"Karin";-1;"19.12.2008";123456;80822;"";"APO-GOSt(B)10/G8";"K.Splaning@smail.de";0;"";"K.Splaning@meineschule.de";""
90;2;4;"EF";"EF";"Stemmer";"Anna";-1;"29.06.2008";123456;81063;"";"APO-GOSt(B)10/G8";"A.Stemmer@smail.de";0;"";"A.Stemmer@meineschule.de";""
91;2;4;"EF";"EF";"Süncksen";"Barbara";-1;"06.06.2008";123456;81222;"";"APO-GOSt(B)10/G8";"B.Süncksen@smail.de";0;"";"B.Süncksen@meineschule.de";""
92;2;4;"EF";"EF";"tenHompel";"Sophie";-1;"01.01.2008";123456;81050;"";"APO-GOSt(B)10/G8";"S.tenHompel@smail.de";0;"";"S.tenHompel@meineschule.de";""
93;2;3;"EF";"EF";"Tettenborn";"Maik";-1;"26.08.2007";123456;82875;"";"APO-GOSt(B)10/G8";"M.Tettenborn@smail.de";0;"";"M.Tettenborn@meineschule.de";""
94;2;4;"EF";"EF";"Visard";"Marie";-1;"25.07.2008";123456;81185;"";"APO-GOSt(B)10/G8";"M.Visard@smail.de";0;"";"M.Visard@meineschule.de";""
95;2;3;"EF";"EF";"Voska";"Jürgen";-1;"23.11.2007";123456;81047;"";"APO-GOSt(B)10/G8";"J.Voska@smail.de";0;"";"J.Voska@meineschule.de";""
96;2;3;"EF";"EF";"Weiland";"Dieter";-1;"17.12.2008";123456;81171;"";"APO-GOSt(B)10/G8";"D.Weiland@smail.de";0;"";"D.Weiland@meineschule.de";""
97;2;3;"EF";"EF";"Weiße";"Stephan";-1;"21.07.2008";123456;81557;"";"APO-GOSt(B)10/G8";"S.Weiße@smail.de";0;"";"S.Weiße@meineschule.de";""
98;2;4;"EF";"EF";"Wendt";"Daniela";-1;"30.09.2008";123456;81214;"";"APO-GOSt(B)10/G8";"D.Wendt@smail.de";0;"";"D.Wendt@meineschule.de";""
99;2;3;"EF";"EF";"Williams";"Mike";-1;"18.06.2007";123456;76524;"";"APO-GOSt(B)10/G8";"M.Williams@smail.de";0;"";"M.Williams@meineschule.de";""
100;2;3;"EF";"EF";"Wolff";"Sven";-1;"24.11.2007";123456;81049;"";"APO-GOSt(B)10/G8";"S.Wolff@smail.de";0;"";"S.Wolff@meineschule.de";""
101;2;4;"EF";"EF";"Zibulski";"Jana";-1;"07.02.2008";123456;80846;"";"APO-GOSt(B)10/G8";"J.Zibulski@smail.de";0;"";"J.Zibulski@meineschule.de";""
